timing_type,related_pin,when,table_type,data_slew,clock_slew,constraint_value
hold_rising,"""CK""",,rise_constraint,0.012,0.012,-0.0156663
hold_rising,"""CK""",,rise_constraint,0.012,0.0291876,-0.0128336
hold_rising,"""CK""",,rise_constraint,0.012,0.070993,-0.00924497
hold_rising,"""CK""",,rise_constraint,0.012,0.172676,-0.00229838
hold_rising,"""CK""",,rise_constraint,0.012,0.42,0.00526845
hold_rising,"""CK""",,rise_constraint,0.0291876,0.012,-0.023895
hold_rising,"""CK""",,rise_constraint,0.0291876,0.0291876,-0.0200629
hold_rising,"""CK""",,rise_constraint,0.0291876,0.070993,-0.015826
hold_rising,"""CK""",,rise_constraint,0.0291876,0.172676,-0.00952765
hold_rising,"""CK""",,rise_constraint,0.0291876,0.42,-0.000961455
hold_rising,"""CK""",,rise_constraint,0.070993,0.012,-0.0385841
hold_rising,"""CK""",,rise_constraint,0.070993,0.0291876,-0.0341185
hold_rising,"""CK""",,rise_constraint,0.070993,0.070993,-0.0294722
hold_rising,"""CK""",,rise_constraint,0.070993,0.172676,-0.0225838
hold_rising,"""CK""",,rise_constraint,0.070993,0.42,-0.0135564
hold_rising,"""CK""",,rise_constraint,0.172676,0.012,-0.0626472
hold_rising,"""CK""",,rise_constraint,0.172676,0.0291876,-0.0578157
hold_rising,"""CK""",,rise_constraint,0.172676,0.070993,-0.0515801
hold_rising,"""CK""",,rise_constraint,0.172676,0.172676,-0.043283
hold_rising,"""CK""",,rise_constraint,0.172676,0.42,-0.0347168
hold_rising,"""CK""",,rise_constraint,0.42,0.012,-0.0965962
hold_rising,"""CK""",,rise_constraint,0.42,0.0291876,-0.0927641
hold_rising,"""CK""",,rise_constraint,0.42,0.070993,-0.0860673
hold_rising,"""CK""",,rise_constraint,0.42,0.172676,-0.077232
hold_rising,"""CK""",,rise_constraint,0.42,0.42,-0.0676664
hold_rising,"""CK""",,fall_constraint,0.012,0.012,0.000738844
hold_rising,"""CK""",,fall_constraint,0.012,0.0291876,0.00791397
hold_rising,"""CK""",,fall_constraint,0.012,0.070993,0.0200786
hold_rising,"""CK""",,fall_constraint,0.012,0.172676,0.0398188
hold_rising,"""CK""",,fall_constraint,0.012,0.42,0.0657149
